ra,dec,err_maj,err_min,err_ang,designation,j_m,j_cmsig,j_msigcom,j_snr,h_m,h_cmsig,h_msigcom,h_snr,k_m,k_cmsig,k_msigcom,k_snr,ph_qual,rd_flg,bl_flg,cc_flg,ndet,prox,pxpa,pxcntr,gal_contam,mp_flg,jdate,j_h,h_k,j_k
235.820198,-45.626991,0.06,0.06,0,15431684-4537371,6.902,0.025,0.030,56445.6,6.004,0.037,0.040,55247.2,5.710,0.011,0.018,40965.7,AAA,111,111,000,666666,19.3,295,486488346,0,0,2451330.5813,0.8980,0.2940,1.1920
237.274550,-45.921040,0.06,0.06,90,15490589-4555157,7.014,0.009,0.019,50913.2,6.027,0.041,0.044,54089.1,5.569,0.017,0.023,46646.6,AAA,111,111,000,676777,12.0,65,486945454,0,0,2451330.6389,0.9870,0.4580,1.4450
237.891356,-47.368813,0.06,0.06,90,15513392-4722077,7.250,0.023,0.029,39575.8,6.015,0.021,0.026,54690.3,5.513,0.013,0.020,49115.7,AAA,111,111,000,666666,16.1,210,487206662,0,0,2451330.6622,1.2350,0.5020,1.7370
240.743588,-47.872719,0.07,0.06,0,16025846-4752217,7.371,0.015,0.023,34200.3,6.014,0.039,0.042,49352.6,5.372,0.011,0.018,54028.1,AAA,111,111,s0s,666666,11.2,337,1007570532,0,0,2451330.7637,1.3570,0.6420,1.9990
239.690849,-47.074093,0.06,0.06,90,15584580-4704267,7.215,0.011,0.020,40872.4,6.016,0.017,0.023,54639.9,5.520,0.015,0.021,48800.0,AAA,111,111,000,666666,12.4,315,487844845,0,0,2451330.7265,1.1990,0.4960,1.6950
234.090792,-49.112545,0.06,0.06,90,15362179-4906451,6.871,0.017,0.024,44058.5,6.005,0.015,0.021,44865.2,5.594,0.011,0.018,42542.2,AAA,111,111,000,666666,13.7,312,631617090,0,0,2451364.4867,0.8660,0.4110,1.2770
233.883176,-48.863506,0.07,0.06,0,15353196-4851486,7.103,0.017,0.024,34374.0,6.003,0.031,0.034,43422.0,5.453,0.013,0.020,48441.8,AAA,111,111,000,666666,16.0,339,631508024,0,0,2451364.4790,1.1000,0.5500,1.6500
33.743902,65.016525,0.06,0.06,90,02145853+6500594,6.490,0.013,0.021,94717.4,6.011,0.003,0.015,56821.2,5.891,0.009,0.017,41211.7,AAA,111,111,000,666666,10.3,295,503998601,0,0,2451183.6313,0.4790,0.1200,0.5990
50.647858,66.558601,0.06,0.06,90,03223548+6633309,7.101,0.009,0.019,50353.5,6.009,0.019,0.024,54993.3,5.642,0.011,0.018,46732.6,AAA,111,111,000,666656,33.5,70,909188597,0,0,2451475.8661,1.0920,0.3670,1.4590
49.438886,64.198730,0.06,0.06,90,03174533+6411554,6.585,0.017,0.024,73018.0,6.021,0.011,0.018,50758.6,5.859,0.017,0.023,42444.4,AAA,111,111,000,666666,16.1,75,532269250,0,0,2451187.6422,0.5640,0.1620,0.7260
44.313112,64.666847,0.07,0.06,0,02571514+6440006,6.560,0.013,0.021,77344.6,6.027,0.031,0.034,55989.9,5.831,0.021,0.026,36645.5,AAA,111,111,000,556666,16.2,152,758757923,0,0,2451449.9604,0.5330,0.1960,0.7290
46.626395,66.307022,0.07,0.06,0,03063033+6618252,6.794,0.021,0.027,60232.4,6.023,0.035,0.038,50665.2,5.837,0.021,0.026,44835.3,AAA,111,111,000,666666,18.8,224,1020034792,0,0,2451606.6250,0.7710,0.1860,0.9570
2.710978,5.088806,0.09,0.07,0,00105063+0505197,6.489,0.025,0.030,77060.2,6.003,0.055,0.057,48162.6,5.805,0.015,0.021,44608.7,AAA,111,111,000,666666,58.4,59,997646331,0,0,2451873.7017,0.4860,0.1980,0.6840
4.260281,2.371436,0.06,0.06,90,00170246+0222171,6.557,0.011,0.020,109554.4,6.003,0.041,0.044,83697.0,5.828,0.007,0.016,55618.6,AAA,111,111,000,666666,25.4,324,1116742440,0,0,2451782.7495,0.5540,0.1750,0.7290
18.484749,2.031110,0.09,0.08,0,01135633+0201519,6.662,0.011,0.020,83681.6,6.010,0.037,0.040,58872.2,5.905,0.015,0.021,46711.1,AAA,111,111,000,566666,22.6,213,1251907494,0,0,2451874.6807,0.6520,0.1050,0.7570
16.673518,4.301840,0.10,0.09,90,01064164+0418066,6.797,0.011,0.020,68965.2,6.011,0.013,0.020,63024.6,5.828,0.027,0.031,40758.7,AAA,111,111,000,666645,19.7,214,1146033789,0,0,2451811.6638,0.7860,0.1830,0.9690
3.296195,13.834396,0.07,0.07,90,00131108+1350038,6.758,0.019,0.026,84963.0,6.021,0.017,0.023,82320.9,5.866,0.017,0.023,46775.7,AAA,111,111,000,666666,79.8,39,323744231,0,0,2451082.8332,0.7370,0.1550,0.8920
3.744386,16.227951,0.09,0.06,90,00145865+1613406,6.564,0.025,0.030,98136.4,6.013,0.013,0.020,74767.0,5.851,0.009,0.017,45816.3,AAA,111,111,000,556666,28.2,74,323780434,0,0,2451082.8575,0.5510,0.1620,0.7130
11.138464,2.604574,0.13,0.12,0,00443323+0236164,6.680,0.011,0.020,64629.4,6.016,0.017,0.023,56560.1,5.818,0.019,0.024,35827.8,AAA,111,111,000,666767,89.4,227,1178151326,0,0,2451835.7141,0.6640,0.1980,0.8620
6.726173,8.562753,0.07,0.06,0,00265428+0833459,6.595,0.013,0.021,85986.4,6.002,0.019,0.024,57294.1,5.875,0.015,0.021,36426.7,AAA,111,111,000,666666,12.6,127,992129826,0,0,2451730.9294,0.5930,0.1270,0.7200
330.068841,49.796047,0.06,0.06,0,22001652+4947457,6.662,0.015,0.023,61323.9,6.009,0.021,0.026,54993.3,5.818,0.013,0.020,35827.8,AAA,111,111,000,666666,12.2,223,732284179,0,0,2451435.7873,0.6530,0.1910,0.8440
