ra,dec,h_m,prox
230.613368,3.080755,12.005,94.6
16.599668,-64.352890,12.005,99.5
40.834390,-34.459770,12.005,75.5
239.466778,41.522572,12.005,87.5
232.545692,43.561153,12.005,92.2
232.334083,66.878532,12.005,120.7
341.649422,-27.809296,12.005,87.9
177.544336,48.642452,12.005,75.5
239.255142,35.680813,12.005,98.3
52.958674,13.962714,12.005,76.4
19.152218,-54.029285,12.005,90.6
24.659203,-27.670004,12.005,87.1
14.500075,-62.095497,12.005,89.2
177.511977,46.788738,12.005,99.2
26.915632,-37.665100,12.005,93.0
10.832312,-58.673931,12.005,81.0
165.195427,2.854722,12.005,85.0
119.728254,41.775646,12.005,79.7
246.271960,42.833801,12.005,75.2
187.718141,-18.421495,12.005,80.5
79.946184,-21.777077,12.005,79.7
173.868543,26.188955,12.005,78.9
6.214238,-61.504044,12.005,104.9
357.194930,-8.672256,12.005,120.3
63.289086,0.820689,12.005,77.4
217.835098,44.134655,12.005,78.2
60.538425,-26.688267,12.005,95.2
0.828410,3.362710,12.005,79.3
54.705071,-31.606693,12.005,87.4
196.916175,-19.032530,12.005,94.9
56.124023,5.052256,12.005,85.5
352.096415,7.522766,12.005,91.2
349.279513,6.982685,12.005,100.6
83.502560,-8.470145,12.005,81.5
39.691353,-27.090799,12.005,80.4
331.766967,-41.153614,12.005,81.3
178.594575,-14.807679,12.005,76.4
202.374785,34.015411,12.005,78.1
27.542930,-45.021935,12.005,78.8
49.906365,-9.265036,12.005,83.2
163.453334,55.706676,12.005,97.1
153.706226,11.983390,12.005,82.1
56.606272,-1.622122,12.005,103.3
21.835238,10.837105,12.005,81.9
42.002844,12.768390,12.005,96.1
166.713364,-1.830862,12.005,102.7
186.488503,-9.591973,12.005,92.3
188.479556,18.851295,12.005,88.6
183.133297,-9.347897,12.005,89.6
30.404167,-15.007432,12.005,105.3
31.576407,-30.682108,12.005,82.9
61.578757,-39.478603,12.005,76.2
175.667606,50.872089,12.005,94.6
182.782296,21.207808,12.005,76.0
63.018772,-44.166931,12.005,79.9
17.686917,35.988621,12.005,84.4
159.324241,11.380714,12.005,80.1
37.845029,29.482773,12.005,97.2
52.539527,-16.687551,12.005,87.7
204.652811,-5.224094,12.005,81.7
49.151965,-20.207565,12.005,75.6
332.352762,2.915060,12.005,91.3
157.321620,27.249411,12.005,77.4
6.064321,6.841951,12.005,76.7
188.665370,31.068838,12.005,83.4
207.181144,51.326225,12.005,99.5
1.494087,-24.597605,12.005,76.4
34.408447,-21.061052,12.005,75.8
6.452617,-24.939100,12.005,86.6
37.707291,8.394979,12.005,95.5
37.266591,1.921289,12.005,102.1
149.212021,-2.338305,12.005,77.3
40.313185,-21.997601,12.005,83.6
226.758340,33.309731,12.005,78.4
197.449005,25.752937,12.005,96.4
40.215126,-19.736965,12.005,91.2
149.230831,-12.789407,12.005,75.3
159.633798,8.099612,12.005,86.6
224.278658,31.629839,12.005,85.9
29.786912,-28.813444,12.005,77.4
329.543316,-31.861423,12.005,77.6
47.190898,4.023828,12.005,82.1
19.871095,-40.305992,12.005,81.5
329.429568,-30.456272,12.005,75.6
64.646027,-27.108030,12.005,86.5
204.891730,67.477600,12.005,86.6
186.348859,-14.696149,12.005,84.8
30.607086,0.799532,12.005,90.6
27.544908,-12.591106,12.005,92.4
65.721268,-14.707825,12.005,89.7
221.159384,25.235954,12.005,102.5
273.924584,66.430145,12.005,82.7
66.963565,-17.845407,12.005,76.4
23.584558,-21.637436,12.005,85.3
219.643616,28.570633,12.005,77.3
202.629440,11.850462,12.005,92.9
61.336000,-6.284830,12.005,80.4
351.684435,4.506401,12.005,92.0
26.267960,6.857631,12.005,76.9
204.806118,13.286730,12.005,84.9
25.256229,24.344046,12.005,82.7
29.492252,-25.172043,12.005,115.2
28.154128,-64.546059,12.005,76.1
147.983446,42.039455,12.005,83.4
241.203042,68.389641,12.005,82.9
333.683544,-18.044111,12.005,84.9
76.647392,-12.575799,12.005,76.5
153.985312,38.333569,12.005,104.2
35.984545,-8.305027,12.005,94.3
121.529850,81.568497,12.005,79.2
196.103167,86.342186,12.005,78.3
193.970303,3.157720,12.006,97.3
49.486461,-42.299728,12.006,101.9
161.058901,43.284649,12.006,123.9
1.391603,-13.104687,12.006,107.3
257.897118,28.421074,12.006,79.1
45.880801,-25.703190,12.006,75.6
19.023184,-77.260460,12.006,82.1
154.670180,32.752197,12.006,152.6
238.352607,45.713631,12.006,81.4
54.874505,-1.363215,12.006,97.5
350.814163,-17.756226,12.006,92.5
