ra,dec,h_m,h_cmsig,prox,j_m,k_m,rd_flg,j_h,h_k,j_k
154.066250,-42.703453,6.004,0.021,19.6,6.882,5.609,111,0.8780,0.3950,1.2730
130.623470,-8.547580,6.006,0.027,23.5,6.765,5.762,111,0.7590,0.2440,1.0030
120.756130,-24.275982,6.004,0.049,13.1,7.064,5.486,111,1.0600,0.5180,1.5780
122.587727,-23.013149,6.009,0.019,12.9,6.882,5.556,111,0.8730,0.4530,1.3260
249.555733,-56.769123,6.002,0.019,17.1,6.886,5.778,111,0.8840,0.2240,1.1080
249.761712,-55.563587,6.008,0.027,15.7,7.029,5.596,111,1.0210,0.4120,1.4330
248.789002,-56.393265,6.007,0.027,12.0,6.880,5.691,111,0.8730,0.3160,1.1890
256.215254,-55.834438,6.001,0.039,16.4,6.880,5.699,111,0.8790,0.3020,1.1810
248.380912,-57.958057,6.001,0.033,10.5,6.954,5.465,111,0.9530,0.5360,1.4890
254.978387,-59.329678,6.006,0.013,11.5,6.258,5.987,111,0.2520,0.0190,0.2710
120.989826,-16.342323,6.005,0.041,15.8,6.530,5.856,111,0.5250,0.1490,0.6740
123.913334,-1.247310,6.006,0.027,20.4,6.458,5.882,111,0.4520,0.1240,0.5760
120.457200,-8.213890,6.007,0.015,25.1,6.500,5.862,111,0.4930,0.1450,0.6380
350.371070,22.601997,6.008,0.017,38.4,6.716,5.806,111,0.7080,0.2020,0.9100
353.030872,20.523722,6.004,0.007,53.0,6.734,5.813,111,0.7300,0.1910,0.9210
290.531579,82.911484,6.002,0.023,23.8,6.717,5.862,111,0.7150,0.1400,0.8550
354.418059,81.345543,6.003,0.021,17.0,6.568,5.893,111,0.5650,0.1100,0.6750
351.532449,70.464577,6.004,0.027,17.3,6.998,5.668,111,0.9940,0.3360,1.3300
322.006098,74.304642,6.004,0.031,18.4,6.931,5.688,111,0.9270,0.3160,1.2430
330.159536,74.144882,6.009,0.031,29.0,6.890,5.777,111,0.8810,0.2320,1.1130
320.698592,77.014404,6.007,0.027,25.5,6.916,5.727,111,0.9090,0.2800,1.1890
312.516247,12.142643,6.006,0.029,17.3,6.823,5.783,111,0.8170,0.2230,1.0400
317.524719,7.720908,6.007,0.015,20.7,6.716,5.796,111,0.7090,0.2110,0.9200
18.472546,-36.185135,6.002,0.033,65.7,6.519,5.866,111,0.5170,0.1360,0.6530
39.337216,-33.649212,6.004,0.033,81.1,6.663,5.814,111,0.6590,0.1900,0.8490
94.428723,-0.746287,6.007,0.021,27.1,6.923,5.717,111,0.9160,0.2900,1.2060
96.131016,-4.466242,6.002,0.041,30.6,6.671,5.860,111,0.6690,0.1420,0.8110
190.163513,-66.780022,6.006,0.041,10.3,6.917,5.756,111,0.9110,0.2500,1.1610
188.975412,-67.538704,6.005,0.053,13.7,6.639,5.808,111,0.6340,0.1970,0.8310
216.124138,-70.825462,6.008,0.023,18.7,6.687,5.824,111,0.6790,0.1840,0.8630
215.420489,-55.950985,6.007,0.039,14.3,6.956,5.720,111,0.9490,0.2870,1.2360
219.465524,-56.147747,6.009,0.043,16.2,7.064,5.468,111,1.0550,0.5410,1.5960
284.149881,-8.552120,6.008,0.023,14.5,6.921,5.740,111,0.9130,0.2680,1.1810
282.704679,-5.563381,6.001,0.019,10.6,7.107,5.608,111,1.1060,0.3930,1.4990
280.671411,-9.995977,6.008,0.017,11.8,7.200,5.472,111,1.1920,0.5360,1.7280
240.711204,-34.130512,6.007,0.043,11.0,6.680,5.813,111,0.6730,0.1940,0.8670
251.263864,-33.454166,6.004,0.047,11.0,7.063,5.539,111,1.0590,0.4650,1.5240
104.248606,18.066969,6.008,0.003,11.6,6.930,5.621,111,0.9220,0.3870,1.3090
106.472158,14.932105,6.005,0.033,13.6,6.588,5.896,111,0.5830,0.1090,0.6920
94.047765,45.469353,6.003,0.015,20.3,6.902,5.621,111,0.8990,0.3820,1.2810
97.550678,44.838516,6.009,0.017,17.5,6.776,5.834,111,0.7670,0.1750,0.9420
102.630150,37.342445,6.001,0.007,29.7,6.719,5.776,111,0.7180,0.2250,0.9430
107.782099,47.910709,6.004,0.009,10.5,6.481,5.913,111,0.4770,0.0910,0.5680
117.973973,29.179794,6.003,0.021,50.4,6.421,5.874,111,0.4180,0.1290,0.5470
117.755618,30.261892,6.001,0.009,28.2,6.421,5.884,111,0.4200,0.1170,0.5370
112.063708,35.088867,6.002,0.037,11.5,6.513,5.901,111,0.5110,0.1010,0.6120
119.751386,51.039513,6.006,0.009,12.2,6.679,5.836,111,0.6730,0.1700,0.8430
127.649701,46.286186,6.006,0.009,13.2,6.496,5.903,111,0.4900,0.1030,0.5930
284.171887,21.691113,6.008,0.009,11.2,6.855,5.746,111,0.8470,0.2620,1.1090
288.435754,15.478742,6.003,0.017,12.8,7.033,5.627,111,1.0300,0.3760,1.4060
288.703405,16.283955,6.009,0.027,12.9,6.741,5.802,111,0.7320,0.2070,0.9390
288.061284,14.685577,6.009,0.007,15.1,7.167,5.575,111,1.1580,0.4340,1.5920
171.385747,-70.397041,6.004,0.049,14.2,6.871,5.757,111,0.8670,0.2470,1.1140
173.604288,-70.206741,6.007,0.029,14.7,7.022,5.539,111,1.0150,0.4680,1.4830
170.487086,-77.608414,6.006,0.043,27.8,6.069,5.969,111,0.0630,0.0370,0.1000
170.961879,-72.937180,6.001,0.039,18.4,7.139,5.285,111,1.1380,0.7160,1.8540
170.302543,-73.762062,6.009,0.033,11.3,6.617,5.767,111,0.6080,0.2420,0.8500
170.506167,-74.457581,6.008,0.045,19.6,6.874,5.703,111,0.8660,0.3050,1.1710
109.667550,-72.319580,6.001,0.025,11.7,6.966,5.696,111,0.9650,0.3050,1.2700
134.011352,-76.171120,6.008,0.025,17.9,6.950,5.687,111,0.9420,0.3210,1.2630
118.663229,-24.522467,6.001,0.039,18.4,6.561,5.837,111,0.5600,0.1640,0.7240
120.614300,-29.468943,6.001,0.031,12.6,6.834,5.716,111,0.8330,0.2850,1.1180
125.036637,-25.075195,6.006,0.051,20.2,6.805,5.679,111,0.7990,0.3270,1.1260
127.464539,-33.395748,6.007,0.043,13.3,6.981,5.682,111,0.9740,0.3250,1.2990
124.283597,-45.505116,6.002,0.019,16.7,6.708,5.846,111,0.7060,0.1560,0.8620
114.920787,-50.894939,6.008,0.039,16.0,6.543,5.865,111,0.5350,0.1430,0.6780
124.487894,-50.440826,6.003,0.035,20.4,7.068,5.515,111,1.0650,0.4880,1.5530
113.468203,-28.567694,6.003,0.043,21.2,6.145,5.949,111,0.1420,0.0540,0.1960
277.159614,-13.321026,6.004,0.059,12.7,7.173,5.481,111,1.1690,0.5230,1.6920
276.798042,-13.590909,6.002,0.015,10.4,6.930,5.673,111,0.9280,0.3290,1.2570
271.503210,-12.070480,6.001,0.027,13.9,7.165,5.605,111,1.1640,0.3960,1.5600
270.524788,-14.258012,6.005,0.025,13.2,7.394,5.288,111,1.3890,0.7170,2.1060
344.910295,54.227619,6.008,0.009,23.7,6.907,5.692,111,0.8990,0.3160,1.2150
340.233046,55.995811,6.003,0.021,18.7,7.011,5.650,111,1.0080,0.3530,1.3610
342.115727,54.153332,6.009,0.023,16.2,6.491,5.897,111,0.4820,0.1120,0.5940
347.469225,58.214722,6.008,0.003,22.6,7.032,5.648,111,1.0240,0.3600,1.3840
338.585131,58.044731,6.006,0.021,22.0,6.786,5.784,111,0.7800,0.2220,1.0020
114.640266,-33.313370,6.005,0.041,10.4,6.848,5.730,111,0.8430,0.2750,1.1180
114.932601,-38.139317,6.005,0.031,18.1,5.919,5.983,111,-0.0860,0.0220,-0.0640
106.294460,-36.912472,6.009,0.023,16.7,6.976,5.632,111,0.9670,0.3770,1.3440
110.265429,-37.624500,6.001,0.041,21.0,6.901,5.632,111,0.9000,0.3690,1.2690
108.469910,-45.754292,6.004,0.041,18.3,6.707,5.774,111,0.7030,0.2300,0.9330
281.317332,-1.070670,6.008,0.015,10.7,6.554,5.868,111,0.5460,0.1400,0.6860
283.636434,-0.446076,6.005,0.043,12.0,7.044,5.533,111,1.0390,0.4720,1.5110
67.914221,46.044178,6.001,0.015,19.7,6.862,5.745,111,0.8610,0.2560,1.1170
52.053697,51.286713,6.004,0.025,11.6,7.118,5.559,111,1.1140,0.4450,1.5590
56.523994,44.701466,6.003,0.017,13.2,6.931,5.656,111,0.9280,0.3470,1.2750
67.889551,51.151829,6.008,0.013,14.0,7.258,5.519,111,1.2500,0.4890,1.7390
63.721253,25.813757,6.001,0.031,12.5,6.901,5.662,111,0.9000,0.3390,1.2390
310.578841,57.757839,6.003,0.013,24.4,6.419,5.904,111,0.4160,0.0990,0.5150
312.610129,59.131859,6.002,0.027,18.5,6.928,5.698,111,0.9260,0.3040,1.2300
306.898019,63.732128,6.003,0.007,20.2,6.872,5.750,111,0.8690,0.2530,1.1220
332.663926,64.070389,6.006,0.031,15.3,6.840,5.782,111,0.8340,0.2240,1.0580
341.503324,65.214760,6.007,0.031,21.7,7.207,5.558,111,1.2000,0.4490,1.6490
279.288108,-17.580378,6.004,0.031,10.5,7.058,5.555,111,1.0540,0.4490,1.5030
278.385694,-20.623480,6.002,0.033,13.2,6.679,5.765,111,0.6770,0.2370,0.9140
277.469206,-21.098616,6.005,0.031,14.4,7.127,5.597,111,1.1220,0.4080,1.5300
283.229917,-12.698076,6.007,0.051,13.6,6.961,5.641,111,0.9540,0.3660,1.3200
282.589368,-16.270830,6.006,0.029,13.9,7.059,5.655,111,1.0530,0.3510,1.4040
199.659965,-62.532642,6.001,0.023,11.1,7.107,5.554,111,1.1060,0.4470,1.5530
199.318179,-63.110119,6.006,0.027,12.0,6.966,5.622,111,0.9600,0.3840,1.3440
196.882892,-62.678089,6.008,0.049,16.7,6.597,5.682,111,0.5890,0.3260,0.9150
184.753033,-61.398167,6.007,0.033,13.9,7.173,5.586,111,1.1660,0.4210,1.5870
181.972708,-61.139408,6.007,0.025,11.0,6.880,5.708,111,0.8730,0.2990,1.1720
189.108069,-59.681183,6.007,0.045,10.5,7.050,5.502,111,1.0430,0.5050,1.5480
189.864476,-60.456238,6.002,0.037,14.0,7.032,5.662,111,1.0300,0.3400,1.3700
184.735119,-60.227978,6.002,0.039,15.2,7.025,5.630,111,1.0230,0.3720,1.3950
189.638092,-61.221287,6.001,0.029,13.7,6.912,5.646,111,0.9110,0.3550,1.2660
185.604807,-63.439342,6.003,0.013,14.3,7.050,5.488,111,1.0470,0.5150,1.5620
328.649589,66.617310,6.003,0.033,16.9,7.036,5.650,111,1.0330,0.3530,1.3860
336.583348,69.645981,6.006,0.031,20.5,7.065,5.631,111,1.0590,0.3750,1.4340
308.849128,69.788612,6.009,0.017,26.0,6.878,5.773,111,0.8690,0.2360,1.1050
324.950241,67.983444,6.001,0.035,23.8,6.961,5.681,111,0.9600,0.3200,1.2800
