ra,dec,err_maj,err_min,err_ang,designation,j_m,j_cmsig,j_msigcom,j_snr,h_m,h_cmsig,h_msigcom,h_snr,k_m,k_cmsig,k_msigcom,k_snr,ph_qual,rd_flg,bl_flg,cc_flg,ndet,prox,gal_contam,mp_flg,j_h,h_k,j_k
230.133532,81.043198,0.22,0.07,0,15203204+8102355,5.522,0.013,0.021,194370.3,5.013,0.015,0.021,147472.1,4.891,0.009,0.017,96609.5,AEA,111,111,000,662666,59.2,0,0,0.5090,0.1220,0.6310
222.064555,52.625820,0.10,0.06,0,14481549+5237329,5.634,0.005,0.018,175319.4,5.013,0.011,0.018,132956.6,4.828,0.005,0.016,75027.4,AAA,111,111,000,674677,58.8,0,0,0.6210,0.1850,0.8060
204.503891,22.527376,0.11,0.08,90,13380093+2231385,5.310,0.007,0.018,262077.7,5.013,0.214,0.214,158019.2,4.707,0.007,0.016,131407.5,ECA,131,111,000,260656,48.7,0,0,0.2970,0.3060,0.6030
265.910302,13.921750,0.07,0.07,90,17433847+1355183,5.895,0.013,0.021,163843.8,5.013,0.003,0.015,158019.2,4.704,0.021,0.026,118801.0,AEA,111,111,000,772677,36.6,0,0,0.8820,0.3090,1.1910
259.532946,11.421566,0.08,0.07,0,17180790+1125176,5.786,0.015,0.023,169055.8,5.013,0.047,0.049,147472.1,4.759,0.013,0.020,101816.9,AEA,111,111,000,662666,32.1,0,0,0.7730,0.2540,1.0270
134.882543,-37.037140,0.07,0.07,90,08593181-3702137,5.688,0.007,0.018,185024.8,5.013,0.071,0.073,163572.4,4.708,0.009,0.017,106713.7,AEA,111,111,0d0,662636,29.6,0,0,0.6750,0.3050,0.9800
274.594922,-77.810516,0.07,0.07,0,18182278-7748378,5.910,0.019,0.026,118421.4,5.013,0.029,0.033,137629.0,4.626,0.011,0.018,107403.9,AAA,111,111,000,664646,20.3,0,0,0.8970,0.3870,1.2840
190.533807,-24.744215,0.06,0.06,90,12420811-2444391,5.846,0.009,0.019,154536.1,5.013,0.029,0.033,147472.1,4.626,0.015,0.021,115085.3,AAA,111,111,00d,773756,59.8,0,0,0.8330,0.3870,1.2200
259.184329,-17.914675,0.08,0.08,90,17164423-1754528,5.503,0.033,0.037,197801.7,5.014,0.053,0.055,128324.6,4.784,0.015,0.021,106615.4,EEA,111,111,000,162645,20.7,0,0,0.4890,0.2300,0.7190
337.783902,55.199104,0.07,0.07,90,22310813+5511567,6.064,0.013,0.021,95902.5,5.014,0.033,0.036,115693.8,4.422,0.005,0.016,129604.5,AEA,111,111,000,661356,21.2,0,0,1.0500,0.5920,1.6420
317.037997,27.373846,0.06,0.06,0,21080911+2722258,5.946,0.015,0.023,140938.6,5.014,0.017,0.023,175109.6,4.679,0.007,0.016,102286.9,AEA,111,111,000,662566,23.2,0,0,0.9320,0.3350,1.2670
138.423471,69.938454,0.07,0.06,0,09134163+6956184,5.567,0.005,0.018,221630.7,5.014,0.045,0.047,137502.3,4.855,0.021,0.026,118691.6,AAA,111,111,000,465666,78.7,0,0,0.5530,0.1590,0.7120
70.931230,-78.617058,0.10,0.07,0,04434349-7837014,5.813,0.013,0.021,143625.0,5.014,0.019,0.024,132834.2,4.731,0.011,0.018,97503.4,AAA,111,111,000,665666,45.5,0,0,0.7990,0.2830,1.0820
126.151771,-4.717001,0.08,0.07,0,08243642-0443012,5.222,0.011,0.020,294191.4,5.014,0.029,0.033,152514.1,4.918,0.015,0.021,82076.7,EAA,111,111,000,254666,41.4,0,0,0.2080,0.0960,0.3040
103.849934,-5.441063,0.07,0.07,90,06552398-0526278,5.927,0.013,0.021,143426.7,5.014,0.057,0.059,157873.8,4.416,0.033,0.036,144550.6,AAE,111,111,000,663616,23.8,0,0,0.9130,0.5980,1.5110
